Chromosome,Start,End,ID,Name,Range
chr1,9899,10239,SRX5716454,SOX3,340
chr1,9923,10228,SRX5075182,SMARCA2,305
chr1,9990,10437,SRX20140894,INTS13,447
chr1,10000,10254,SRX5020214,SMARCA2,254
chr1,10001,10206,SRX5075174,SMARCA4,205
chr1,10002,10295,SRX5716460,Epitope tags,293
chr1,10003,10428,SRX20140880,CPSF3L,425
chr1,10004,10200,SRX5075176,SMARCA4,196
chr1,10004,10399,SRX20140860,SOX2,395
chr1,10005,10270,SRX20140892,SOX2,265
chr1,10011,10438,SRX20140879,CPSF3L,427
chr1,10011,10456,SRX20140862,SOX2,445
chr1,10013,10243,SRX5716468,SMARCA2,230
chr1,10018,10436,SRX20140882,CPSF3L,418
chr1,10019,10358,SRX20140870,INTS10,339
chr1,10020,10419,SRX20140891,SOX2,399
chr1,10022,10079,SRX5075180,SMARCA2,57
chr1,10024,10407,SRX20140861,SOX2,383
chr1,10026,10303,SRX5075168,SMARCA4,277
chr1,10027,10217,SRX5716451,SOX2,190
chr1,10028,10408,SRX20140881,CPSF3L,380
chr1,10030,10334,SRX20140869,INTS10,304
chr1,10034,10447,SRX20140895,INTS13,413
chr1,10035,10424,SRX20140897,INTS13,389
chr1,10036,10438,SRX20140868,INTS10,402
chr1,10042,10345,SRX20140896,INTS13,303
chr1,10045,10309,SRX20140867,INTS10,264
chr1,10056,10312,SRX20140890,SOX2,256
chr1,11084,11533,SRX16500062,CTCF,449
chr1,11085,11640,SRX16500060,CTCF,555
chr1,11093,11652,SRX16500061,CTCF,559
chr1,11097,11642,SRX16500059,CTCF,545
chr1,11149,11536,SRX4174629,CTCF,387
chr1,11178,11476,SRX5075174,SMARCA4,298
chr1,11201,11488,SRX5075168,SMARCA4,287
chr1,19887,20555,SRX20140869,INTS10,668
chr1,19970,20290,SRX5075170,SMARCA4,320
chr1,20007,20496,SRX5075176,SMARCA4,489
chr1,20038,20406,SRX20140897,INTS13,368
chr1,25925,26135,SRX4174629,CTCF,210
chr1,28887,29659,SRX20140895,INTS13,772
chr1,29027,29338,SRX5075169,SMARCA4,311
chr1,29039,29517,SRX20140869,INTS10,478
chr1,29097,29309,SRX5716469,SMARCA4,212
chr1,29103,29385,SRX5075170,SMARCA4,282
chr1,29111,29528,SRX5716470,SMARCA4,417
chr1,29123,29598,SRX20140868,INTS10,475
chr1,29140,29322,SRX5075176,SMARCA4,182
chr1,29183,29565,SRX5075168,SMARCA4,382
chr1,29189,29763,SRX5075174,SMARCA4,574
chr1,29249,29630,SRX5075175,SMARCA4,381
chr1,56204,56377,SRX5075174,SMARCA4,173
chr1,91249,91592,SRX16500059,CTCF,343
chr1,91256,91562,SRX16500060,CTCF,306
chr1,91270,91584,SRX16500062,CTCF,314
chr1,91272,91554,SRX4174629,CTCF,282
chr1,91292,91539,SRX16500061,CTCF,247
chr1,180748,180995,SRX20140894,INTS13,247
chr1,181444,182110,SRX16500060,CTCF,666
chr1,181491,182090,SRX16500061,CTCF,599
chr1,181497,182124,SRX16500059,CTCF,627
chr1,181502,182079,SRX16500062,CTCF,577
chr1,181588,181973,SRX20140895,INTS13,385
chr1,181608,181985,SRX5075174,SMARCA4,377
chr1,181622,182059,SRX5075168,SMARCA4,437
chr1,181635,181932,SRX20140894,INTS13,297
chr1,181649,182086,SRX4174629,CTCF,437
chr1,190369,190793,SRX20140897,INTS13,424
chr1,190514,191022,SRX20140869,INTS10,508
chr1,190601,190986,SRX5075176,SMARCA4,385
chr1,190607,190932,SRX5075170,SMARCA4,325
chr1,196413,196688,SRX16500061,CTCF,275
chr1,196445,196787,SRX16500060,CTCF,342
chr1,196446,196776,SRX16500062,CTCF,330
chr1,196448,196781,SRX16500059,CTCF,333
chr1,196471,196746,SRX4174629,CTCF,275
chr1,199043,199230,SRX5075176,SMARCA4,187
chr1,199069,199353,SRX5075169,SMARCA4,284
chr1,199247,199757,SRX20140897,INTS13,510
chr1,199307,200101,SRX5075175,SMARCA4,794
chr1,199317,200177,SRX20140869,INTS10,860
chr1,199477,200417,SRX20140895,INTS13,940
chr1,199622,200154,SRX5716470,SMARCA4,532
chr1,199623,200088,SRX20140870,INTS10,465
chr1,199628,200148,SRX5075170,SMARCA4,520
chr1,199632,200218,SRX20140868,INTS10,586
chr1,199642,199838,SRX5075169,SMARCA4,196
chr1,199704,200088,SRX5075168,SMARCA4,384
chr1,199714,199949,SRX5716469,SMARCA4,235
chr1,199717,200103,SRX5075174,SMARCA4,386
chr1,199731,200079,SRX20140894,INTS13,348
chr1,199732,200101,SRX5075176,SMARCA4,369
chr1,199766,200155,SRX20140867,INTS10,389
chr1,199797,200105,SRX5716464,SMARCA4,308
chr1,199800,200116,SRX20140879,CPSF3L,316
chr1,199817,200134,SRX20140897,INTS13,317
chr1,199899,200152,SRX5075169,SMARCA4,253
chr1,267719,268314,SRX16500059,CTCF,595
chr1,267798,268251,SRX16500060,CTCF,453
chr1,267798,268254,SRX16500061,CTCF,456
chr1,267799,268245,SRX16500062,CTCF,446
chr1,267831,268283,SRX4174629,CTCF,452
chr1,267859,268156,SRX5075168,SMARCA4,297
chr1,267865,268119,SRX5075176,SMARCA4,254
chr1,267866,268189,SRX5075174,SMARCA4,323
chr1,267908,268195,SRX5716470,SMARCA4,287
chr1,267913,268146,SRX5075170,SMARCA4,233
chr1,267961,268183,SRX5716464,SMARCA4,222
chr1,352520,352775,SRX5054308,FOSL2,255
chr1,357092,357578,SRX16500059,CTCF,486
chr1,357137,357590,SRX16500062,CTCF,453
chr1,357147,357673,SRX16500060,CTCF,526
chr1,357224,357608,SRX16500061,CTCF,384
chr1,357244,357482,SRX5075168,SMARCA4,238
chr1,357254,357686,SRX4174629,CTCF,432
chr1,357267,357556,SRX5075174,SMARCA4,289
chr1,376925,377134,SRX5075169,SMARCA4,209
chr1,381044,381797,SRX16500059,CTCF,753
chr1,381075,381804,SRX16500060,CTCF,729
chr1,381091,381792,SRX16500062,CTCF,701
